threshold_scale,n_datasets_total,n_datasets_with_seizures,n_responders_pre,n_non_responders_pre,responder_ratio_pre,mean_recall_before_seizures,std_recall_before_seizures,mean_far_before_all,std_far_before_all,mean_recall_before_resp,std_recall_before_resp,mean_far_before_resp,std_far_before_resp,mean_recall_before_nonresp,std_recall_before_nonresp,mean_far_before_nonresp,std_far_before_nonresp,n_responders_post,n_non_responders_post,responder_ratio_post,responder_change,mean_recall_after_all,std_recall_after_all,mean_far_after_all,std_far_after_all,mean_recall_after_resp,std_recall_after_resp,mean_far_after_resp,std_far_after_resp,mean_recall_after_nonresp,std_recall_after_nonresp,mean_far_after_nonresp,std_far_after_nonresp,mean_recall_change,mean_far_reduction,n_clustered
0.3,96,92,92,0,1.0,1.0,0.0,0.00518606601934338,0.014195687993089692,1.0,0.0,0.0035931014118330586,0.009942849307887629,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,0.005129191997576554,0.014183406386289137,1.0,0.0,0.0035337546065111534,0.009914892342991982,,,,,0.0,5.687402176682561e-05,96.0
0.35,96,92,92,0,1.0,1.0,0.0,0.025024525493764476,0.06528007553847953,1.0,0.0,0.02119949320021653,0.05960412875939359,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,0.024830594750311574,0.06521515212620753,1.0,0.0,0.020997130685309156,0.059516726575254794,,,,,0.0,0.00019393074345289813,96.0
0.4,96,92,92,0,1.0,1.0,0.0,0.02288737679549414,0.0988956794509397,1.0,0.0,0.02024558865685643,0.09920253530398046,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,0.022784207432668124,0.09891453052666067,1.0,0.0,0.020137933669559717,0.0992192537418832,,,,,0.0,0.00010316936282601518,96.0
0.45,96,92,92,0,1.0,1.0,0.0,0.00933195193683307,0.026058268997710632,1.0,0.0,0.006452050309564639,0.0163910497465179,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,0.00933195193683307,0.026058268997710632,1.0,0.0,0.006452050309564639,0.0163910497465179,,,,,0.0,0.0,96.0
0.5,96,92,92,0,1.0,1.0,0.0,0.8979360560894499,3.672122876575974,1.0,0.0,0.9316298309648033,3.7482282009840477,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,0.896908061910974,3.6723602782685085,1.0,0.0,0.9307481706529469,3.7484341562930736,,,,,0.0,0.001027994178475685,96.0
0.55,96,92,92,0,1.0,1.0,0.0,2.3579896788231784,3.8627463598852647,1.0,0.0,2.3682841807178083,3.9406480196695783,,,,,92.0,0.0,1.0,0.0,0.9583333333333334,0.20087527770480484,2.3574754180340167,3.8627786647948033,1.0,0.0,2.3677475607639007,3.940682493589079,,,,,0.0,0.0005142607891620247,96.0
0.6,96,92,92,0,1.0,0.9972939311594203,0.021143557808175017,22.22019030260198,8.890686384450996,0.9972939311594203,0.021143557808175017,21.922738403876828,8.652338528354711,,,,,92.0,0.0,1.0,0.0,0.9557400173611111,0.20139765403090407,22.21961128746041,8.89072933238938,0.9972939311594203,0.021143557808175017,21.922134214163886,8.652363599189059,,,,,0.0,0.0005790151415711412,96.0
0.65,96,92,90,2,0.9782608695652174,0.9879963356389986,0.05645866447821256,91.32837163855532,8.654854969232433,0.9958777356902359,0.018568263874275733,91.10597695064597,8.681282523383395,0.6333333333333333,0.04714045207910316,95.46241505540729,7.889539911969598,90.0,2.0,0.9782608695652174,0.0,0.9468298216540404,0.20601296406284322,86.77071804333423,7.76248367458467,0.9958777356902359,0.018568263874275733,86.96396282685909,7.851449361583802,0.6333333333333333,0.04714045207910316,84.51880655608772,7.554801128030056,0.0,4.5576535952211,96.0
0.7,96,92,78,14,0.8478260869565217,0.891748577509447,0.22797254638192305,81.89614307893082,8.80158505935369,0.9728141730064805,0.0725033732001749,81.94361611518323,8.444433664336886,0.44009740259740265,0.27120894117982297,83.3237100880493,9.642298285853569,81.0,11.0,0.8804347826086957,3.0,0.8677869157751971,0.27840713795486666,22.8775195208456,4.618417090691952,0.9708750277500277,0.07145415579460038,22.997835241012346,4.546452861281939,0.42424242424242425,0.30298181430240956,22.57261238406352,5.102415483859546,0.013194528995310246,59.01862355808523,96.0
0.75,96,92,20,72,0.21739130434782608,0.39265847452668107,0.3539707383425763,15.168347711180203,3.82821602920065,0.9253888888888888,0.11875369424163774,16.978798665416328,5.484237786418715,0.24467780387051224,0.23380545910364534,14.761587117440847,3.1470728384374524,20.0,72.0,0.21739130434782608,0.0,0.38510163230866357,0.35711275125161984,8.247800169227691,1.5825517249521055,0.9253888888888888,0.11875369424163774,8.77721030049629,2.042721608244155,0.2564163739424156,0.24390097892351537,8.132176789294606,1.4134027342519013,0.008803927553927553,6.920547541952515,96.0
