threshold,clustering_strategy,dataset,sensitivity,false_alarms_per_hour,challenge_score,total_detections_before_clustering,total_detections_after_clustering,total_true_positives,total_false_positives,total_seizures,detected_seizures,files_processed,files_skipped,total_duration_hours,anomaly_reduction,num_responders,responder_rate,responder_sensitivity,responder_fad,non_responder_sensitivity,non_responder_fad
0.0031850361742711214,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.720660987074799,15.436205194986202,516581,14729,114,14615,707,114,2042,753,8493.82888888889,0.9714875305131238,0,0.0,None,None,0.16124469589816123,1.72055770394665
0.5040892533451813,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.7058266877678252,15.442138914708993,511368,14603,114,14489,707,114,2042,753,8493.82888888889,0.9714432659063531,0,0.0,None,None,0.16124469589816123,1.7054345598449914
0.5391414518722988,time_600s,TRAINING_SET (sub001-sub096),0.15983026874115983,1.7062976179045544,15.30050782695416,506155,14606,113,14493,707,113,2042,753,8493.82888888889,0.9711432268771424,0,0.0,None,None,0.15983026874115983,1.7057946347045545
0.5523201308602576,time_600s,TRAINING_SET (sub001-sub096),0.15983026874115983,1.7045316298918194,15.301214222159254,500942,14591,113,14478,707,113,2042,753,8493.82888888889,0.9708728755025532,0,0.0,None,None,0.15983026874115983,1.7041142853599258
0.5603346618358627,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.7033543045499961,15.443127867996123,495729,14582,114,14468,707,114,2042,753,8493.82888888889,0.9705847348047018,0,0.0,None,None,0.16124469589816123,1.7023139110621093
0.565900564334752,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.7035897696183608,15.443033681968778,490517,14584,114,14470,707,114,2042,753,8493.82888888889,0.970268104877099,0,0.0,None,None,0.16124469589816123,1.7020738611557338
0.5702131061456437,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.7024124442765374,15.58494732780565,485304,14575,115,14460,707,115,2042,753,8493.82888888889,0.9699672782420915,0,0.0,None,None,0.16265912305516267,1.700993636577044
0.5739000912728306,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.6997045959903438,15.444587751419984,480091,14551,114,14437,707,114,2042,753,8493.82888888889,0.9696911627170682,0,0.0,None,None,0.16124469589816123,1.6984731125601007
0.5770625073453204,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.698762735716885,15.586407211229513,474878,14544,115,14429,707,115,2042,753,8493.82888888889,0.9693731863762903,0,0.0,None,None,0.16265912305516267,1.6973928879814109
0.5799904485463709,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.6994691309219792,15.444681937447331,469666,14549,114,14435,707,114,2042,753,8493.82888888889,0.9690226671719903,0,0.0,None,None,0.16124469589816123,1.6979930127473497
0.5824088382429187,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.698409538114338,15.445105774570386,464453,14540,114,14426,707,114,2042,753,8493.82888888889,0.9686943565872111,0,0.0,None,None,0.16124469589816123,1.6969127881686599
