threshold,clustering_strategy,dataset,sensitivity,false_alarms_per_hour,challenge_score,total_detections_before_clustering,total_detections_after_clustering,total_true_positives,total_false_positives,total_seizures,detected_seizures,files_processed,files_skipped,total_duration_hours,anomaly_reduction,num_responders,responder_rate,responder_sensitivity,responder_fad,non_responder_sensitivity,non_responder_fad
0.0031850361742711214,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,4.118519510766379,63.982012280559076,516581,35492,510,34982,707,464,2042,753,8493.82888888889,0.9312944146222955,64,0.6956521739130435,0.7982062780269058,4.118106946893482,0.41379310344827586,4.075308726957945
0.5040892533451813,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,4.06259655702977,64.00438146205371,511368,35017,510,34507,707,464,2042,753,8493.82888888889,0.93152289544907,64,0.6956521739130435,0.7982062780269058,4.064169949257519,0.41379310344827586,4.0111651444923835
0.5391414518722988,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,4.0321038306765455,64.016578552595,506155,34758,510,34248,707,464,2042,753,8493.82888888889,0.9313293358753741,64,0.6956521739130435,0.7982062780269058,4.026895017770246,0.41379310344827586,3.9948304433676127
0.5523201308602576,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,4.001257906720775,64.02891692217732,500942,34496,510,33986,707,464,2042,753,8493.82888888889,0.9311377365044257,64,0.6956521739130435,0.7982062780269058,3.989791860160795,0.41379310344827586,3.9784957422428424
0.5603346618358627,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,3.972060238243556,64.0405959895682,495729,34248,510,33738,707,464,2042,753,8493.82888888889,0.9309138662454688,64,0.6956521739130435,0.7982062780269058,3.957326597252525,0.41379310344827586,3.958176967673006
0.565900564334752,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,3.9430980348347022,64.05218087093175,490517,34002,510,33492,707,464,2042,753,8493.82888888889,0.9306813015654911,64,0.6956521739130435,0.7982062780269058,3.924861334344255,0.41379310344827586,3.9394518224811965
0.5702131061456437,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,3.9121343783447484,64.06456633352774,485304,33739,510,33229,707,464,2042,753,8493.82888888889,0.9304786278291545,64,0.6956521739130435,0.7982062780269058,3.88964768939084,0.41379310344827586,3.9179378258778406
0.5739000912728306,time_180s,TRAINING_SET (sub001-sub096),0.6562942008486563,3.8843495002777177,64.07568028475454,480091,33503,510,32993,707,464,2042,753,8493.82888888889,0.9302153133468447,64,0.6956521739130435,0.7982062780269058,3.862335642817216,0.41379310344827586,3.891642941140405
0.5770625073453204,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.8568000872790518,63.94525733425386,474878,33268,509,32759,707,463,2042,753,8493.82888888889,0.9299441119613879,63,0.6847826086956522,0.7986425339366516,3.8220860212001995,0.41509433962264153,3.8917653060438426
0.5799904485463709,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.8280733489385628,63.95674802959005,469666,33024,509,32515,707,463,2042,753,8493.82888888889,0.9296862025354188,63,0.6847826086956522,0.7986425339366516,3.790004280955647,0.41509433962264153,3.8698105730228116
0.5824088382429187,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.7984047503246146,63.96861546903563,464453,32772,509,32263,707,463,2042,753,8493.82888888889,0.9294395773092218,62,0.6739130434782609,0.7990867579908676,3.7472502742262916,0.4200743494423792,3.8639865229282324
0.5846576330344591,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.7719149301335895,63.97921139711204,459240,32547,509,32038,707,463,2042,753,8493.82888888889,0.9291285602299452,62,0.6739130434782609,0.7990867579908676,3.7184744615402536,0.4200743494423792,3.8440003857406726
0.5866583456197485,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.74012714590436,63.99192651080374,454027,32276,508,31768,707,463,2042,753,8493.82888888889,0.9289117167040727,62,0.6739130434782609,0.7990867579908676,3.6840145377063562,0.4200743494423792,3.821053339340141
0.5885287663316798,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.7063379085940302,64.00544220572786,448815,31989,508,31481,707,463,2042,753,8493.82888888889,0.9287256441963838,62,0.6739130434782609,0.7990867579908676,3.649554613872459,0.4200743494423792,3.789223565300694
0.5903024618097699,time_180s,TRAINING_SET (sub001-sub096),0.6548797736916548,3.680789948676464,64.0156613896949,443602,31772,508,31264,707,463,2042,753,8493.82888888889,0.9283772390566318,62,0.6739130434782609,0.7990867579908676,3.6239761137070916,0.4200743494423792,3.764425950642055
0.5919581932879165,time_180s,TRAINING_SET (sub001-sub096),0.6534653465346535,3.6442928630799405,63.88881750823338,438389,31461,507,30954,707,462,2042,753,8493.82888888889,0.9282349693993235,61,0.6630434782608695,0.8,3.5851795481626434,0.41911764705882354,3.7320501235670034
0.5934785832589263,time_180s,TRAINING_SET (sub001-sub096),0.6534653465346535,3.615095194602722,63.90049657562427,433176,31214,508,30706,707,462,2042,753,8493.82888888889,0.927941529539956,61,0.6630434782608695,0.7977011494252874,3.5509256692321713,0.4227941176470588,3.7124535943300705
0.5949808731267077,time_180s,TRAINING_SET (sub001-sub096),0.6534653465346535,3.5870748514673267,63.911704712878425,427964,30976,508,30468,707,462,2042,753,8493.82888888889,0.9276200801936612,61,0.6630434782608695,0.7977011494252874,3.5227693394306843,0.4227941176470588,3.68414749654339
