Threshold,N_Total,N_Responders,Recall_All,FAR_All,Score_All,Recall_Responders,FAR_Responders,Score_Responders
0.3,96,92,0.9583333333333334,0.005129191997576554,95.8312816565343,1.0,0.0035337546065111534,99.9985864981574
0.35,96,92,0.9583333333333334,0.024830594750311574,95.8234010954332,1.0,0.020997130685309156,99.9916011477259
0.4,96,92,0.9583333333333334,0.022784207432668124,95.82421965036026,1.0,0.020137933669559717,99.99194482653219
0.45,96,92,0.9583333333333334,0.00933195193683307,95.8296005525586,1.0,0.006452050309564639,99.99741917987618
0.5,96,92,0.9583333333333334,0.896908061910974,95.47457010856895,1.0,0.9307481706529469,99.62770073173883
0.55,96,92,0.9583333333333334,2.3574754180340167,94.89034316611973,1.0,2.3677475607639007,99.05290097569441
0.6,96,92,0.9557400173611111,22.21961128746041,86.68615722112695,0.9972939311594203,21.922134214163886,90.96053943027646
0.65,96,92,0.9468298216540404,86.77071804333423,59.97469494807035,0.9879963356389986,86.91080725575536,64.03531066159772
0.7,96,92,0.8677869157751971,22.8775195208456,77.62768376918147,0.9055167816784665,22.946993377681505,81.37288081677404
0.75,96,92,0.38510163230866357,8.247800169227691,35.211043163175276,0.40184518153947496,8.272401465642801,36.875557567690386
0.8,95,91,0.06131772905457116,0.5146057509848847,5.925930605063162,0.06401301384817869,0.5143485263387724,6.19556197428236
0.85,28,28,0.03571428571428571,0.023382517676561996,3.562075564357947,0.03571428571428571,0.023382517676561996,3.562075564357947
0.9,3,3,0.0,0.015811237445082,-0.0063244949780328005,0.0,0.015811237445082,-0.0063244949780328005
