Threshold,N_Total,N_Responders,Recall_All_Pre,FAR_All_Pre,Score_All_Pre,Recall_Resp_Pre,FAR_Resp_Pre,Score_Resp_Pre,Recall_All_Post,FAR_All_Post,Score_All_Post,Recall_Resp_Post,FAR_Resp_Post,Score_Resp_Post
0.3,96,92,0.9583333333333334,0.00518606601934338,95.83125890692558,1.0,0.0035931014118330586,99.99856275943527,0.9583333333333334,0.005129191997576554,95.8312816565343,1.0,0.0035337546065111534,99.9985864981574
0.35,96,92,0.9583333333333334,0.025024525493764476,95.82332352313581,1.0,0.02119949320021653,99.99152020271993,0.9583333333333334,0.024830594750311574,95.8234010954332,1.0,0.020997130685309156,99.9916011477259
0.4,96,92,0.9583333333333334,0.02288737679549414,95.82417838261513,1.0,0.02024558865685643,99.99190176453727,0.9583333333333334,0.022784207432668124,95.82421965036026,1.0,0.020137933669559717,99.99194482653219
0.45,96,92,0.9583333333333334,0.00933195193683307,95.8296005525586,1.0,0.006452050309564639,99.99741917987618,0.9583333333333334,0.00933195193683307,95.8296005525586,1.0,0.006452050309564639,99.99741917987618
0.5,96,92,0.9583333333333334,0.8979360560894499,95.47415891089754,1.0,0.9316298309648033,99.6273480676141,0.9583333333333334,0.896908061910974,95.47457010856895,1.0,0.9307481706529469,99.62770073173883
0.55,96,92,0.9583333333333334,2.3579896788231784,94.89013746180406,1.0,2.3682841807178083,99.05268632771285,0.9583333333333334,2.3574754180340167,94.89034316611973,1.0,2.3677475607639007,99.05290097569441
0.6,96,92,0.9557400173611111,22.22019030260198,86.6859256150703,0.9972939311594203,21.922738403876828,90.96029775439129,0.9557400173611111,22.21961128746041,86.68615722112695,0.9972939311594203,21.922134214163886,90.96053943027646
0.65,96,92,0.9468298216540404,91.32837163855532,58.15163350998191,0.9879963356389986,91.20068212683644,62.319360713165295,0.9468298216540404,86.77071804333423,59.97469494807035,0.9879963356389986,86.91080725575536,64.03531066159772
0.7,96,92,0.8545923867798869,81.89614307893082,52.70078144641635,0.891748577509447,82.15363041540196,56.313405584783915,0.8677869157751971,22.8775195208456,77.62768376918147,0.9055167816784665,22.946993377681505,81.37288081677404
0.75,96,92,0.376297704754736,15.168347711180203,31.562431391001514,0.39265847452668107,15.243589627870296,33.168411601519985,0.38510163230866357,8.247800169227691,35.211043163175276,0.40184518153947496,8.272401465642801,36.875557567690386
0.8,96,92,0.055281275437525444,0.6162392467331381,5.281631845059288,0.057684809152200464,0.6191120753966455,5.520836085061389,0.06131772905457116,0.5146057509848847,5.925930605063162,0.06401301384817869,0.5143485263387724,6.19556197428236
0.85,96,92,0.010416666666666666,0.012440321912519273,1.036690537901659,0.010869565217391304,0.012981205473933156,1.0817640395495574,0.03571428571428571,0.023382517676561996,3.562075564357947,0.03571428571428571,0.023382517676561996,3.562075564357947
0.9,96,92,0.0,0.0005961319916293622,-0.00023845279665174498,0.0,0.0006220507738741172,-0.00024882030954964695,0.0,0.015811237445082,-0.0063244949780328005,0.0,0.015811237445082,-0.0063244949780328005
0.95,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.0,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.05,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.1,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.15,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.2,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1.25,96,92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
